feature,importance
lag_1h,0.37048477550443765
lag_168h,0.2878781578050078
lag_24h,0.21624280335472748
rolling_mean_24h,0.05990489836386068
rolling_mean_168h,0.03873659418027947
hour,0.008984492296839253
hour_sin,0.005463038588176294
hour_cos,0.0047181893216577805
dow_cos,0.002616570298659529
day_of_week,0.0021110864649850655
dow_sin,0.0011702381195529959
day_of_month,0.0009778941311729974
is_weekend,0.0007112615706430435
